Number,Next Number,Top 10 Numbers,Top 10 Numbers Distance,Min Distance
32,34.0,"[7, 20, 31, 5, 8, 10, 11, 19, 25, 28]","[15, 15, 17, 10, 7, 9, 5, 6, 2, 14]",2
34,11.0,"[26, 27, 3, 4, 12, 18, 31, 32, 2, 5]","[15, 3, 16, 10, 18, 15, 12, 13, 8, 5]",3
11,5.0,"[12, 10, 26, 32, 35, 14, 19, 25, 28, 30]","[14, 1, 17, 18, 15, 6, 16, 12, 13, 4]",1
5,25.0,"[5, 25, 11, 13, 18, 20, 34, 1, 3, 4]","[12, 0, 7, 5, 15, 17, 2, 16, 9, 3]",0
25,4.0,"[26, 36, 3, 22, 25, 29, 6, 9, 12, 15]","[5, 9, 6, 13, 3, 11, 6, 14, 8, 2]",2
4,10.0,"[2, 1, 6, 11, 12, 24, 28, 5, 9, 13]","[12, 5, 8, 4, 15, 2, 14, 1, 9, 6]",1
10,8.0,"[6, 7, 27, 32, 10, 18, 19, 21, 35, 2]","[6, 15, 5, 15, 2, 13, 13, 11, 18, 10]",2
8,12.0,"[6, 21, 23, 18, 20, 26, 30, 36, 0, 4]","[14, 9, 16, 4, 9, 3, 18, 17, 4, 8]",3
12,29.0,"[2, 4, 6, 8, 10, 11, 16, 17, 18, 27]","[13, 11, 17, 14, 12, 16, 9, 15, 1, 18]",1
29,35.0,"[7, 22, 33, 3, 19, 21, 32, 0, 8, 12]","[3, 6, 12, 1, 6, 8, 4, 3, 18, 1]",1
35,23.0,"[31, 24, 11, 13, 22, 32, 2, 5, 8, 9]","[9, 3, 3, 5, 11, 16, 11, 2, 1, 10]",1
23,10.0,"[32, 11, 21, 0, 8, 13, 16, 18, 27, 29]","[17, 4, 13, 18, 2, 6, 3, 11, 7, 12]",2
10,26.0,"[6, 7, 27, 32, 10, 18, 19, 21, 35, 2]","[11, 5, 12, 2, 18, 7, 4, 6, 2, 7]",2
26,22.0,"[15, 22, 23, 6, 13, 25, 28, 0, 5, 24]","[11, 0, 11, 18, 16, 16, 4, 9, 9, 8]",0
22,32.0,"[7, 0, 11, 29, 35, 1, 10, 15, 17, 20]","[7, 1, 13, 8, 4, 15, 17, 1, 7, 14]",1
32,6.0,"[7, 20, 31, 5, 8, 10, 11, 19, 25, 28]","[16, 14, 16, 9, 6, 8, 4, 7, 3, 15]",3
6,2.0,"[8, 3, 7, 1, 9, 16, 30, 31, 36, 2]","[10, 8, 12, 17, 16, 15, 9, 17, 7, 0]",0
2,7.0,"[26, 29, 6, 2, 4, 13, 15, 17, 23, 24]","[5, 1, 16, 12, 10, 18, 8, 14, 14, 11]",1
7,33.0,"[12, 6, 5, 7, 13, 26, 28, 29, 33, 35]","[11, 12, 3, 9, 10, 14, 10, 8, 0, 12]",0
33,35.0,"[33, 16, 25, 27, 36, 12, 20, 26, 3, 4]","[12, 13, 10, 14, 16, 1, 10, 2, 1, 7]",1
35,28.0,"[31, 24, 11, 13, 22, 32, 2, 5, 8, 9]","[6, 12, 18, 17, 4, 6, 11, 13, 16, 5]",4
28,27.0,"[21, 32, 4, 6, 8, 12, 0, 3, 5, 9]","[6, 10, 7, 1, 5, 15, 11, 13, 8, 16]",1
27,9.0,"[2, 7, 14, 17, 19, 26, 28, 5, 6, 9]","[16, 4, 2, 18, 13, 9, 5, 8, 17, 0]",0
9,33.0,"[27, 14, 23, 5, 26, 29, 0, 3, 8, 16]","[11, 3, 5, 3, 14, 8, 15, 13, 6, 1]",1
33,21.0,"[33, 16, 25, 27, 36, 12, 20, 26, 3, 4]","[17, 16, 2, 6, 8, 9, 18, 6, 7, 1]",1
21,5.0,"[5, 15, 7, 9, 35, 13, 30, 0, 2, 3]","[0, 17, 12, 8, 15, 7, 4, 18, 13, 16]",0
5,4.0,"[5, 25, 11, 13, 18, 20, 34, 1, 3, 4]","[15, 3, 10, 8, 12, 17, 5, 18, 6, 0]",0
4,1.0,"[2, 1, 6, 11, 12, 24, 28, 5, 9, 13]","[17, 0, 13, 9, 10, 3, 9, 4, 4, 11]",0
1,31.0,"[9, 6, 20, 21, 30, 0, 2, 7, 8, 13]","[1, 16, 2, 16, 11, 11, 17, 5, 10, 14]",1
31,35.0,"[9, 5, 10, 15, 17, 19, 0, 2, 4, 11]","[7, 15, 16, 5, 11, 6, 3, 9, 7, 17]",3
35,12.0,"[31, 24, 11, 13, 22, 32, 2, 5, 8, 9]","[7, 13, 18, 16, 5, 5, 10, 14, 17, 6]",5
12,11.0,"[2, 4, 6, 8, 10, 11, 16, 17, 18, 27]","[8, 10, 4, 2, 4, 0, 7, 6, 15, 3]",0
11,24.0,"[12, 10, 26, 32, 35, 14, 19, 25, 28, 30]","[13, 2, 16, 18, 14, 5, 17, 13, 12, 5]",2
24,17.0,"[9, 11, 33, 1, 15, 19, 21, 22, 36, 3]","[18, 6, 14, 15, 6, 5, 3, 17, 5, 10]",3
17,29.0,"[6, 23, 36, 4, 8, 27, 33, 14, 20, 21]","[17, 13, 17, 11, 14, 18, 8, 5, 6, 12]",5
29,35.0,"[7, 22, 33, 3, 19, 21, 32, 0, 8, 12]","[3, 6, 12, 1, 6, 8, 4, 3, 18, 1]",1
35,33.0,"[31, 24, 11, 13, 22, 32, 2, 5, 8, 9]","[4, 2, 8, 10, 6, 16, 16, 3, 6, 5]",2
33,25.0,"[33, 16, 25, 27, 36, 12, 20, 26, 3, 4]","[15, 14, 0, 4, 6, 11, 17, 8, 9, 3]",0
25,17.0,"[26, 36, 3, 22, 25, 29, 6, 9, 12, 15]","[9, 5, 10, 17, 1, 15, 2, 18, 12, 6]",1
17,11.0,"[6, 23, 36, 4, 8, 27, 33, 14, 20, 21]","[4, 3, 1, 10, 2, 3, 8, 11, 10, 9]",1
11,1.0,"[12, 10, 26, 32, 35, 14, 19, 25, 28, 30]","[10, 5, 13, 15, 11, 2, 17, 16, 9, 8]",2
1,15.0,"[9, 6, 20, 21, 30, 0, 2, 7, 8, 13]","[12, 8, 15, 3, 13, 2, 4, 8, 14, 10]",2
15,30.0,"[36, 5, 16, 23, 4, 7, 8, 12, 14, 17]","[2, 4, 6, 2, 11, 16, 1, 18, 10, 7]",1
30,1.0,"[5, 9, 16, 2, 3, 4, 8, 13, 17, 18]","[4, 4, 2, 17, 12, 18, 7, 11, 15, 6]",2
1,14.0,"[9, 6, 20, 21, 30, 0, 2, 7, 8, 13]","[2, 15, 1, 17, 10, 12, 18, 6, 9, 13]",1
14,8.0,"[7, 36, 2, 9, 30, 0, 4, 8, 13, 19]","[15, 3, 10, 11, 1, 16, 12, 0, 4, 13]",0
8,24.0,"[6, 21, 23, 18, 20, 26, 30, 36, 0, 4]","[10, 15, 3, 9, 4, 16, 5, 7, 17, 16]",3
24,15.0,"[9, 11, 33, 1, 15, 19, 21, 22, 36, 3]","[12, 12, 17, 16, 0, 1, 3, 11, 11, 4]",0
15,14.0,"[36, 5, 16, 23, 4, 7, 8, 12, 14, 17]","[12, 6, 4, 8, 16, 6, 9, 8, 0, 17]",0
14,12.0,"[7, 36, 2, 9, 30, 0, 4, 8, 13, 19]","[2, 17, 10, 6, 18, 4, 8, 17, 16, 7]",2
12,9.0,"[2, 4, 6, 8, 10, 11, 16, 17, 18, 27]","[16, 14, 17, 11, 9, 13, 6, 18, 2, 16]",2
9,14.0,"[27, 14, 23, 5, 26, 29, 0, 3, 8, 16]","[14, 0, 8, 6, 11, 5, 12, 10, 9, 4]",0
14,8.0,"[7, 36, 2, 9, 30, 0, 4, 8, 13, 19]","[15, 3, 10, 11, 1, 16, 12, 0, 4, 13]",0
8,26.0,"[6, 21, 23, 18, 20, 26, 30, 36, 0, 4]","[11, 6, 18, 7, 12, 0, 16, 14, 1, 5]",0
26,18.0,"[15, 22, 23, 6, 13, 25, 28, 0, 5, 24]","[10, 1, 12, 18, 17, 15, 3, 8, 10, 9]",1
18,4.0,"[31, 7, 21, 35, 1, 2, 4, 15, 16, 27]","[15, 10, 1, 7, 18, 2, 0, 2, 17, 7]",0
4,23.0,"[2, 1, 6, 11, 12, 24, 28, 5, 9, 13]","[11, 6, 7, 3, 16, 3, 15, 2, 10, 5]",2
23,34.0,"[32, 11, 21, 0, 8, 13, 16, 18, 27, 29]","[8, 5, 4, 9, 7, 3, 12, 17, 2, 16]",2
34,29.0,"[26, 27, 3, 4, 12, 18, 31, 32, 2, 5]","[6, 18, 5, 11, 3, 1, 4, 8, 13, 11]",1
29,0.0,"[7, 22, 33, 3, 19, 21, 32, 0, 8, 12]","[6, 9, 15, 2, 3, 5, 1, 0, 16, 4]",0
0,17.0,"[2, 17, 28, 31, 35, 0, 4, 7, 10, 13]","[2, 0, 13, 18, 11, 8, 4, 14, 10, 4]",0
17,30.0,"[6, 23, 36, 4, 8, 27, 33, 14, 20, 21]","[5, 2, 2, 11, 1, 4, 7, 10, 9, 10]",1
30,26.0,"[5, 9, 16, 2, 3, 4, 8, 13, 17, 18]","[17, 9, 15, 7, 1, 5, 17, 13, 9, 7]",1
26,26.0,"[15, 22, 23, 6, 13, 25, 28, 0, 5, 24]","[3, 8, 18, 11, 13, 8, 4, 1, 17, 16]",1
26,4.0,"[15, 22, 23, 6, 13, 25, 28, 0, 5, 24]","[2, 13, 13, 6, 8, 3, 9, 4, 15, 16]",2
4,19.0,"[2, 1, 6, 11, 12, 24, 28, 5, 9, 13]","[3, 17, 7, 11, 7, 17, 8, 16, 13, 9]",3
19,5.0,"[5, 11, 36, 0, 12, 18, 22, 27, 28, 29]","[0, 5, 6, 18, 14, 10, 9, 8, 13, 11]",0
5,22.0,"[5, 25, 11, 13, 18, 20, 34, 1, 3, 4]","[9, 16, 14, 16, 1, 4, 18, 5, 7, 13]",1
22,27.0,"[7, 0, 11, 29, 35, 1, 10, 15, 17, 20]","[17, 11, 3, 18, 14, 12, 7, 9, 3, 13]",3
27,4.0,"[2, 7, 14, 17, 19, 26, 28, 5, 6, 9]","[2, 10, 16, 4, 1, 5, 9, 15, 6, 14]",1
4,2.0,"[2, 1, 6, 11, 12, 24, 28, 5, 9, 13]","[0, 17, 4, 8, 10, 14, 11, 13, 16, 6]",0
2,8.0,"[26, 29, 6, 2, 4, 13, 15, 17, 23, 24]","[17, 14, 6, 10, 12, 4, 14, 8, 1, 4]",1
8,2.0,"[6, 21, 23, 18, 20, 26, 30, 36, 0, 4]","[4, 1, 11, 14, 18, 7, 9, 7, 6, 2]",1
2,35.0,"[26, 29, 6, 2, 4, 13, 15, 17, 23, 24]","[2, 4, 13, 9, 7, 15, 5, 11, 17, 14]",2
35,4.0,"[31, 24, 11, 13, 22, 32, 2, 5, 8, 9]","[15, 16, 10, 8, 13, 3, 2, 15, 12, 14]",2
4,5.0,"[2, 1, 6, 11, 12, 24, 28, 5, 9, 13]","[13, 4, 9, 5, 14, 1, 13, 0, 8, 7]",0
5,10.0,"[5, 25, 11, 13, 18, 20, 34, 1, 3, 4]","[1, 11, 4, 6, 11, 6, 9, 5, 17, 14]",1
10,23.0,"[6, 7, 27, 32, 10, 18, 19, 21, 35, 2]","[7, 14, 6, 16, 1, 12, 14, 12, 17, 11]",1
